customer_id,recency_days,frequency,monetary,total_freight,state,city,avg_order_value,lifetime_days,is_repeat,avg_days_between,unique_products,r_quartile,r_score,f_score,m_score,rfm_total,segment
0a1f83858e65e141609fca9ea70a495a,42,2,118.0,58.56,CE,fortaleza,59.0,0,1,0.0,2,0,5,5,4,14,Champions
0aa1ab39ff2b837c05d7c9ff85b6d983,171,2,231.8,89.25,SP,praia grande,115.9,64,1,16.0,3,1,4,5,5,14,Champions
0ac4a9460c1baf3051ffec5c9021a499,91,2,176.29,38.65,ES,cariacica,88.145,21,1,21.0,2,0,5,5,4,14,Champions
0ad1d79346c3b98b517348ecbbadfbc6,69,2,138.9,18.63,SP,santo andre,69.45,50,1,50.0,2,0,5,5,4,14,Champions
0b18593e033697810a62a987e77f4b8c,169,3,139.7,51.26,MG,perdigao,46.56666666666666,283,1,141.5,3,1,4,5,4,13,Champions
0b51518c7deffd54b13b007c9f91c3f0,57,2,256.59000000000003,28.74,SP,ribeirao preto,128.29500000000002,59,1,59.0,2,0,5,5,5,15,Champions
0b6d4f036c07e10854affe43fc4e718c,159,2,188.14,38.97,MG,ribeirao das neves,94.07,0,1,0.0,3,1,4,5,5,14,Champions
0be7af6c16fbca7eff244788f89146a3,156,2,252.9,56.34,RJ,nova friburgo,126.45,0,1,0.0,2,1,4,5,5,14,Champions
0c10e674d1504f959a7f2e504148c296,126,2,118.8,25.8,SP,ribeirao preto,59.4,180,1,180.0,2,1,4,5,4,13,Champions
0c1201c04330536234aaa49b396745d4,24,2,352.79,72.65,SP,araras,176.395,192,1,192.0,2,0,5,5,5,15,Champions
0c32aa09e8eced3ea26c2a013b7b75e9,75,2,207.59,48.51,DF,brasilia,103.795,197,1,98.5,2,0,5,5,5,15,Champions
0c8286526be3a0fc8f50b7267db95035,152,2,274.5,71.02,PR,ponta grossa,137.25,335,1,111.66666666666669,2,1,4,5,5,14,Champions
0d153268371aa25450d4117ff070277e,61,2,565.9,235.35,ES,cachoeiro de itapemirim,282.95,49,1,24.5,3,0,5,5,5,15,Champions
0d51e04ae0b1d341e4f49812d1f4fbe2,105,2,159.89,35.2,SP,votuporanga,79.945,209,1,209.0,2,1,4,5,4,13,Champions
0d7241c7fb49c1be6e75c9fe99e0822c,121,2,192.8,60.43,RJ,rio de janeiro,96.4,103,1,51.5,3,1,4,5,5,14,Champions
0dc81b520ef7db9cb44bb075e129dcf8,72,2,386.91,118.04,RJ,rio de janeiro,193.455,142,1,47.333333333333336,2,0,5,5,5,15,Champions
0e381ce773b382849206115413009851,26,2,150.19,56.44,RJ,rio de janeiro,75.095,11,1,5.5,2,0,5,5,4,14,Champions
0e4d012fac3d20c033e0284fb6d2ea6a,7,2,360.53,171.95,MG,mato verde,180.265,113,1,28.25,3,0,5,5,5,15,Champions
0e730550dfc5d7f1cea73484bb2e0249,176,2,158.9,40.52,RJ,rio de janeiro,79.45,12,1,12.0,2,1,4,5,4,13,Champions
0e78a1b66adee5bb3a6f014714f79cf4,145,2,440.8,36.64,RJ,rio de janeiro,220.4,0,1,0.0,2,1,4,5,5,14,Champions
